"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","36","1","en","","","","","","","","",""
"","","","1","15","1","en","","","","","","","","",""
"","","","1","84","1","en","fact","-0.644513","negative","0.946457","0.276964","0.080121","0.084908","0.165077","0.588734"
"400","not enough text provided for language detection","683fc2df5a72cd480c31af45","","","","","","","","","","","","",""
"","","","1","15","1","en","","","","","","","","",""
"","","","1","51","1","en","product","-0.388283","negative","0.986156","0.250901","0.055548","0.066034","0.020187","0.032192"
"400","not enough text provided for language detection","683fc2df5a72cd480bce41e1","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480bce41f1","","","","","","","","","","","","",""
"","","","1","20","1","en","","","","","","","","",""
"","","","1","34","1","en","color","0","neutral","0.987558","0.336358","0.13999","0.117931","0.017848","0.107396"
"","","","1","46","1","en","color","0","neutral","0.970908","0.137118","0.11758","0.06065","0.027073","0.136753"
"","","","1","15","1","en","","","","","","","","",""
"","","","1","17","1","en","","","","","","","","",""
"","","","1","28","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480cab4fb9","","","","","","","","","","","","",""
"","","","1","31","1","en","","","","","","","","",""
"","","","1","155","1","en","lipstick","-0.585583","negative","0.91793","0.221444","0.361902","0.241319","0.202502","0.110721"
"","","","1","31","1","en","color","-0.690258","negative","0.950957","0.065568","0.166067","0.069216","0.009671","0.040799"
"","","","1","51","1","en","scent","0","neutral","0.986488","0.080249","0.113139","0.05734","0.075996","0.088657"
"","","","1","37","1","en","formula","-0.741483","negative","0.981713","0.063764","0.234219","0.155604","0.332362","0.111754"
"","","","1","34","1","en","applicator","-0.59622","negative","0.987958","0.506538","0.093879","0.065657","0.060438","0.127004"
"","","","1","64","1","en","bit","0","neutral","0.938164","0.220595","0.255432","0.125828","0.069542","0.087473"
"","","","1","9","1","en","","","","","","","","",""
"","","","1","46","1","en","","","","","","","","",""
"","","","1","55","1","en","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480c31b1b5","","","","","","","","","","","","",""
"400","not enough text provided for language detection","683fc2df5a72cd480cab4db9","","","","","","","","","","","","",""
"","","","1","238","1","en","applicator","-0.846961","negative","0.977446","0.469029","0.054512","0.091898","0.272557","0.090571"
"","","","1","104","1","en","texture","-0.557477","negative","0.930333","0.46466","0.086888","0.073732","0.061876","0.116002"
"","","","1","52","1","en","","","","","","","","",""
"","","","1","85","1","en","lip gloss","-0.719893","negative","0.954782","0.304755","0.23267","0.163352","0.363137","0.072405"
"","","","1","61","1","en","lipliner","0","neutral","0.940816","0.139592","0.216192","0.070157","0.080614","0.070008"
