"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","68","1","en","bunch","0","neutral","0.932421","0.064667","0.121816","0.1134","0.631533","0.32725"
"","","","1","62","1","en","good level","0.52303","positive","0.988263","0.178333","0.427198","0.094834","0.041698","0.152969"
"","","","1","97","1","en","comfort","0","neutral","0.987368","0.274129","0.454919","0.050978","0.011879","0.037232"
"","","","1","29","1","en","","","","","","","","",""
"","","","1","38","1","en","smoothness","0.843723","positive","0.947697","0.082731","0.37511","0.092529","0.085046","0.076387"
"","","","1","70","1","en","jelly gloss","0.867573","positive","0.949048","0.518732","0.180389","0.161593","0.166177","0.082308"
"","","","1","115","1","en","good impression","0.805005","positive","0.916596","0.197992","0.666203","0.020148","0.005884","0.020427"
"","","","1","53","1","en","natural waxes","0.852776","positive","0.915171","0.143381","0.451861","0.054142","0.041507","0.038171"
"","","","1","53","1","en","glass beads","0.476077","positive","0.911031","0.279429","0.241651","0.080281","0.133116","0.082163"
"","","","1","25","1","en","natural waxes","0.848674","positive","0.984621","0.137388","0.432894","0.054021","0.031552","0.029585"
"","","","1","88","1","en","product","-0.537692","negative","0.964219","0.174012","0.077787","0.058106","0.051851","0.070047"
"","","","1","87","1","en","natural ingredients","0.768395","positive","0.971022","0.111512","0.725234","0.059686","0.027966","0.051604"
"","","","1","82","1","en","description","0.541241","positive","0.988286","0.025938","0.704697","0.020474","0.063517","0.011639"
"","","","1","155","1","en","jelly texture","0.671964","positive","0.905931","0.201219","0.294315","0.060428","0.066128","0.037117"
"","","","1","86","1","en","gloss","-0.880416","negative","0.936193","0.28073","0.258741","0.212876","0.163842","0.142857"
"","","","1","36","1","en","","","","","","","","",""
"","","","1","49","1","en","aloe active  moisture","0","neutral","0.957185","0.097723","0.100503","0.051026","0.035354","0.043625"
